img_link,price,brand_name,product_name
https://www.rlmedia.io/is/image/PoloGSI/s7-1008450_lifestyle?$rl_392_pdp$,$23.00,"
Polo Black
","
Polo Black 6 oz. Body Spray
"
https://www.rlmedia.io/is/image/PoloGSI/s7-121035_lifestyle?$rl_392_pdp$,$23.00,"
Polo Black
","
Polo Black Deodorant
"
https://www.rlmedia.io/is/image/PoloGSI/s7-121032_lifestyle?$rl_392_pdp$,$55.00,"
Polo Black
","
Polo Black After-Shave Splash
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1309480_lifestyle?$rl_392_pdp$,$200.00,"
Polo Ralph Lauren
","
Alpine 200 Hybrid Hiker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1309481_lifestyle?$rl_392_pdp$,$90.00,"
Polo Ralph Lauren
","
Solomon Flannel Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1309484_lifestyle?$rl_392_pdp$,$200.00,"
Polo Ralph Lauren
","
Alpine 200 Faux-Leather Hiker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1309499_lifestyle?$rl_392_pdp$,$160.00,"
Polo Ralph Lauren
","
Train 100 Suede-Mesh Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1309501_lifestyle?$rl_392_pdp$,$150.00,"
Polo Ralph Lauren
","
Train 100 Suede-Twill Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1309482_lifestyle?$rl_392_pdp$,$105.00,"
Polo Ralph Lauren
","
Solomon Flag-Print Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1298454_lifestyle?$rl_392_pdp$, - $70.00,"
Polo Ralph Lauren
","
Thompson Embroidered Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1298458_lifestyle?$rl_392_pdp$,$65.00,"
Polo Ralph Lauren
","
Thorton Canvas Low-Top Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1298457_lifestyle?$rl_392_pdp$,$95.00,"
Polo Ralph Lauren
","
Thompson Camo Suede Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1298445_lifestyle?$rl_392_pdp$,$150.00,"
Polo Ralph Lauren
","
Train 100 Suede-Mesh Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1298452_lifestyle?$rl_392_pdp$,$80.00,"
Polo Ralph Lauren
","
Solomon Canvas Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1298443_lifestyle?$rl_392_pdp$,$65.00,"
Polo Ralph Lauren
","
CP-93 Canvas Low-Top Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1298450_lifestyle?$rl_392_pdp$,$90.00,"
Polo Ralph Lauren
","
Solomon Canvas Sneaker
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1289012_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$150.00,"
Polo Ralph Lauren
","
Price Leather Low-Top Sneaker
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1280662_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$125.00,"
Polo Ralph Lauren
","
Court 200 Mesh Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1298072_standard?$rl_392_pdp$,$165.00,"
RRL
","
Norfolk Canvas Sneaker
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1260458_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$225.00,"
RRL
","
New Norfolk Leather Sneaker
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1260453_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$185.00,"
RRL
","
Mayport Canvas Sneaker
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1263713_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$185.00,"
RRL
","
Mayport Canvas Sneaker
"
"https://www.rlmedia.io/is/image/PoloGSI/s7-1198997_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$185.00,"
RRL
","
Norfolk Denim Sneaker
"
